title,author,genre,start_date,end_date,year,page_count,audiobook
Everything is Predictable,Tom Chivers,,,,,,
Why Machines Learn,Anil Ananthaswamy,,,,,,
The Science of Self-Learning,Peter Hollins,,,,,,
Happier Hour,Cassie Holmes,,,,,,
Indistractable,Nir Eyal,,,,,,
The Mental Game,Dorie Donnelly,,,,,,
Better Small Talk,,,,,,,
Probably the Best Book On Statistics Ever Written,,,,,,,
Why Machines learn,Anil Ananthaswamy,machinelearning/math,after Christmas,early jan,2025,430,
The Mental Game,Darrin Donnelly,Golf/mental,early jan,mid jan,2025,251,
better small talk,Patrick King,Self Help/conversations,mid jan,mid jan,2025,212,
Bullshit Jobs,David Graeber,Jobs/Work,mid jan,early feb,2025,285,
The Science of Self-Learning,Peter Hollins,Self Help/learning,early feb,early feb,2025,190,
Zen Golf,Dr Joesph Parent,Golf/mental/how to approach the game,early feb,early feb,2025,199,
Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,Netflix/HR/Teams/Business,early feb,13-Feb,2025,148,
Happier Hour,"Cassie Holmes, phD",Self Help/Time management/social science,14-Feb,18-Feb,2025,240,
The Fourth Turning,William Strauss & Neil Howe,History/Social Science,18-Feb,5-Mar,2025,334,
The Ten Day MBA,Steven Silbiger,Business/MBA,5-Mar,19-Mar,2025,397,
"Humor, Seriously",Jennifer Aaker & Naomi Bagdonas,Business/Self-Help,19-Mar,26-Mar,2025,227,
How the World Ran out of Everything,Peter S. Goodman,Business/Supply Chain/Global,31-Mar,11-Apr,2025,352,
The Great Game of Business,Jack Stack,Business,12-Apr,20-Apr-25,2025,361,
Super Pumped The Battle for Uber,Mike Issac,Uber/Business/Story-Telling,22-Apr,3-May,2025,351,
Probably the Best Book on Statistics Ever Written,Haim Shapira,Statistics/math,4-May,14-May,2025,272,
"The Technological Republic - Hard Power, Soft Belief, and the Future of the West",Alexander C. Karp & Nicholas W. Zamiska,business/technology,14-May,22-May,2025,218,
The Long Game: How to be a Long-Term Thinker in a Short-Term World,Dorie Clark,business/self-help/life,23-May,30-May,2025,209,
Everything is Predictable,Tom Chibers,Stats,2-Jun,6/16/25,2025,336,
"The AI Age - Save time, sell more, and crush the competition",Jeb Blount & Anthony Iannarino,Sales/AI/business,20-Jun,22-Jun,2025,266,
Tiny Experiments: How to live freely in a Goal-Obsessed World,Anne-Laure LeCunff,Self-help/business/pyschology,23-Jun,29-Jun,2025,237,
Filterworld: How Algorithms Flattened Culture,Kyle Chayka,"technology, recommendation, data",7-Jul,24-Jul,2025,280,
"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",Malcolm Gladwell,"social, pyschology",25-Jul,31-Jul,2025,304,
How to Break 90:  An Easy step by step Approach for breaking Golfs Toughest Scoring Barrier,T.J Tomasi and Mike Adams,"Golf, Sports",3-Aug,8-Aug,2025,181,
The Alignment Problem: Machibe Learning and Human Values,Brian Christian,Machine Learning,10-Aug,28-Aug,2025,329,
The Culting of Brands,Douglas Atkin,Marketing/business,1-Sep,10-Sep,2025,204,
Corporate Finance ASAP,John Cousins,Finance/business,11-Sep,16-Sep,2025,158,
The Dichotomy of Leadership,Jocko Willink and Leif Babin,Leadership/life/business,17-Sep,26-Sep,2025,285,
The Consumer Insights Revolution,"Steve Phillips, Ryan Barry, Stephan Gans, and Kate Schardt",Marketing/Data/analytics,27-Sep,3-Oct,2025,189,
Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,"risk, finance",4-Oct,21-Oct,2025,338,
The Road Less Stupid: Advice from the Chairman,Keith J. Cunningham,"business, mistakes, life",22-Oct,31-Oct,2025,265,
The Anxious Generation,Jonathan Haidt,Pyschology,1-Nov,20-Nov,2025,289,
How Not to Invest,Barry Ritholtz,"Finance, Investing",22-Nov,9-Dec,2025,447,
Slow Productivity,Cal Newport,"Self-help, productivity",12-Dec,24-Dec,2025,219,
Skunk Works,Ben R. Rich,"Military, True Story",25-Dec,31-Dec,2025,343,
Can't Hurt Me,David Goggins,"Miltary, Self-Help, Psychology",2-Jan,11-Jan,2026,356,
StatQuest: Illistrated Guide to Machine Learning,Josh Starmer,"Machine Learning, Data Science",12-Jan,19-Jan,2026,270,
"The AI-Driven Leader: Hanressing AI to Make Faster, Smarter Decisions",Geoff Woods,"AI, Business",19-Jan,25-Jan,2026,267,
Data Strategy,Bernard Marr,"AI, Data, Business, Strategy",26-Jan,6-Feb,2026,244,
Overwork Transforming the Daily Grind in the Quest for a Better Life,Brigid Schulte,"Work, Self-Help, Time Management",7-Feb,17-Feb,2026,291,
The 48 Laws of Power,Robert Greene,Self-Help,18-Feb,8-Mar,2026,430,
Golf Beneath the Surface: The New Science of Golf Psychology,Raymond Prior,"Golf, Psychology",9-Mar,19-Mar,2026,235,
The Supply Chain Revolution,Suman Sarkar,"Supply Chain, business",20-Mar,29-Mar,2026,209,
The Master Algorithm,Pedro Domingos,Machine Learning,12-Apr,21-Apr,2026,289,
the Untethered Soul:  the journey beyond yourself,Michael Singer,"Spiritual, Self-help",22-Apr,30-Apr,2026,181,
No More Mr Nice Guy,Robert Glover,"Self-Help, men",2-May,7-May,2026,204,
Chip War - The Fight for the World's  Most Critica; Technology,Chris Miller,"Informational, Tech, History",8-May,22-May,2026,364,
Making it In America: The Almost Impssible Quest to Manufacature in the USA,Rachel Slade,"Information, History, Manufacturing",23-May,1-Jun,2026,292,
Reset: How to Change What's Not Working,Dan Heath,"Self-Help,Business",2-Jun,11-Jun,2026,231,
The Unconguerable Game My Life in Golf and Business,Ely Callaway,"Business, Biography, Golf",12-Jun,24-Jun,2026,281,
Broken Supply Chains,Jeff Leimbach,"Business, Supply Chain",25-Jun,30-Jun,2026,208,
Endurance: Shackletons Incresible Voyage,Alfred Lansing,"Story,",2-Jul,9-Jul,2026,353,
Essentialism The Disciplined Pursuit of Less,Greg McKeown,"Self Help, Life, Mindset",10-Jul,19-Jul,2026,261,
How to Tell A Story,Many Authors,"Self Help, story",22-Jul,5-Aug,2026,282,
Secrets of Analytical Leaders,Wayne Eckerson,"Analytics, Data",6-Aug,14-Aug,2026,237,
The Misbehaveior of Markets,Benoit Mandelbrot & Richard Hudson,"Econ, Finance",16-Aug,6-Sept,2026,276,
Fortune's Formula,William Poundstone,"Stats, Finance",7-Sept,,2026,329,
Cancel Me if you Can,Dave Portnoy,biography,,,2026,,yes
Inside the Box: How Constraints Make Us Better,David Epstein,Business. life,,,2026,,yes
