title,author,genre,start_date,end_date,year,page_count,audiobook,start_date_raw,end_date_raw
Powerful,Patty McCord,,,,,,False,,
The Technological Republic,Alexander C. Karp,,,,,,False,,
The Consumer Insights Revolution,"Steve Phillips, Ryan Barry, Stephan Gans, Kate Schardt",,,,,,False,,
Filterworld,Kyle Chayka,,,,,,False,,
Revenge of the Tipping Point,Malcolm Gladwell,,,,,,False,,
The Alignment Problem,Brian Christian,,,,,,False,,
The Road Less Stupid,Keith J. Cunningham,,,,,,False,,
The StatQuest Illustrated Guide to Machine Learning,"Josh Starmer, PhD",,,,,,False,,
The Ten-Day MBA,Steven Silbiger,,,,,,False,,
"Humor, Seriously",,,,,,,False,,
Everything is Predictable,Tom Chivers,,,,,,False,,
Happier Hour,Cassie Holmes,,,,,,False,,
Indistractable,Nir Eyal,,,,,,False,,
The Mental Game,Dorie Donnelly,,,,,,False,,
Better Small Talk,,,,,,,False,,
Probably the Best Book On Statistics Ever Written,,,,,,,False,,
Why Machines learn,Anil Ananthaswamy,"machinelearning, math",,2025-01-05,2025,430,False,after Christmas,early jan
The Mental Game,Darrin Donnelly,"golf, mental",2025-01-05,2025-01-15,2025,251,False,early jan,mid jan
better small talk,Patrick King,"conversations, self help",2025-01-15,2025-01-15,2025,212,False,mid jan,mid jan
Bullshit Jobs,David Graeber,"jobs, work",2025-01-15,2025-02-05,2025,285,False,mid jan,early feb
The Science of Self-Learning,Peter Hollins,"learning, self help",2025-02-05,2025-02-05,2025,190,False,early feb,early feb
Zen Golf,Dr Joesph Parent,"golf, how to approach the game, mental",2025-02-05,2025-02-05,2025,199,False,early feb,early feb
Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,"business, hr, netflix, teams",2025-02-05,2025-02-13,2025,148,False,early feb,13-Feb
Happier Hour,"Cassie Holmes, phD","self help, social science, time management",2025-02-14,2025-02-18,2025,240,False,14-Feb,18-Feb
The Fourth Turning,"William Strauss, Neil Howe","history, social science",2025-02-18,2025-03-05,2025,334,False,18-Feb,5-Mar
